Set_Number	Site	Hooks	Set	Day	Month	Year	Soak_Time	Latitude	Longitude	Surface_Temp	Surface_Salinity	Surface_DO	Bottom_Temp	Bottom_Salinity	Bottom_DO	Depth
194	Aransas_Bay	50	1	30	10	2018	1.61667	27.97639	-97.05046	22	14.5	9.06	21.9	14.6	8.7	3.843262
38	Corpus_Christi_Bay	50	1	10	6	2016	1.6	27.85312	-97.33254	27.68	25					3.884644
126	Corpus_Christi_Bay	50	5	6	7	2017	2.56667	27.85549	-97.32772	31.3	33.7	5.89	31	34.1	3.98	3.887695
184	Corpus_Christi_Bay	50	4	25	9	2018	1.41667	27.85219	-97.33584	29.3	30.2	6.55	29.2	30.3	5.87	3.88997
93	Corpus_Christi_Bay	50	4	27	9	2016	2.01667	27.85162	-97.33597	28.1	30.9	5.3	28.2	31.1	5.4	3.89209
49	Redfish_Bay	50	3	16	6	2016	2.08333	27.77914	-97.15991	30.3	27.1	6.12	30.3	27.2	5.9	3.907227
39	Corpus_Christi_Bay	50	2	10	6	2016	2.28333	27.85508	-97.32858	27.8	25					3.923462
141	Aransas_Bay	50	1	18	10	2017	1.85	27.99323	-97.0243	23.5	14.8	7.37	23.6	14.9	7.2	3.936646
150	Corpus_Christi_Bay	50	2	25	10	2017	1.86667	27.86514	-97.3109	23.5	27	6.49	23.9	27.1	6.32	3.970337
9	Corpus_Christi_Bay	50	1	30	7	2015	2.18333	27.86986	-97.29782	31.6	22.8	5.73	31.3	27.63	4.2	3.985229
72	Redfish_Bay	50	4	1	8	2016	2.13333	27.78665	-97.15786	30.2	34.4	5.7	30.1	34.4	5.54	3.996948
183	Corpus_Christi_Bay	50	3	25	9	2018	1.6	27.85005	-97.3279	29.2	29.9	5.35	29.1	30.6	5.32	4.022461
80	Redfish_Bay	50	3	23	8	2016	1.8	27.78217	-97.16585	30.5	36.4	5.97	30.3	36.4	5.84	4.07312
54	Redfish_Bay	50	4	28	6	2016	1.81667	27.7818	-97.166	32.3	28.6	6.5	30.2	29.5	5.1	4.080078
181	Corpus_Christi_Bay	50	1	25	9	2018	1.48333	27.84641	-97.33316	29	30.5	5.24	29	30.5	5.18	4.147461
173	Corpus_Christi_Bay	50	1	30	8	2018	1.53333	27.86109	-97.31029	30.2	38.9	5.25	30.1	39	5.04	4.1519
151	Corpus_Christi_Bay	50	3	25	10	2017	1.61667	27.84243	-97.3295	23.6	27.3	6.42	23.5	27.3	6.3	4.154297
51	Redfish_Bay	50	1	28	6	2016	1.85	27.7817	-97.1656	30.3	29.5	5.94	30	29.8	4.58	4.1576
140	Corpus_Christi_Bay	50	2	20	9	2017	2.11667	27.84033	-97.3086	29.2	30.6	5.66	29.2	30.6	5.57	4.188721
172	Redfish_Bay	50	4	23	8	2018	2.08333	27.78044	-97.16286	30.9	38.7	5.2	30.7	39.4	4.96	4.209717
14	Corpus_Christi_Bay	50	2	24	8	2015	1.98333	27.85777	-97.32034	31.5	32.08	5.68	30.1	42.42	5.41	4.21167
132	Corpus_Christi_Bay	50	2	21	8	2017	3.13333	27.84791	-97.32703	30.6	38.4	5.16	30.5	38.4	5.2	4.214478
182	Corpus_Christi_Bay	50	2	25	9	2018	1.63333	27.84742	-97.32894	29	30.8	5.71	29	30.8	5.44	4.219849
50	Redfish_Bay	50	4	16	6	2016	2.43333	27.78227	-97.16711	30.3	27.2	6.11	30.3	27.2	6.04	4.251709
138	Redfish_Bay	50	4	13	9	2017	2.4	27.78365	-97.1644	27.1	28.7	6.6	26.6	29.2	5.96	4.2599
175	Corpus_Christi_Bay	50	3	30	8	2018	1.85	27.84438	-97.30252	30.6	39	5.08	30	39	4.71	4.262207
158	Corpus_Christi_Bay	50	2	8	5	2018	1.76667	27.84495	-97.3045	25.8	30.5		25.8	30.7		4.271851
133	Corpus_Christi_Bay	50	3	21	8	2017	3.05	27.85441	-97.30847	30.9	38.5	5.52	30.8	38.5	5.4	4.287109
83	Corpus_Christi_Bay	50	2	12	9	2016	1.98333	27.84245	-97.301	29.9	32.7	5.29	29.9	34	4.88	4.288574
